Issue Number,Issue Title,Time to Close,Number of Assignees,Number of Comments,Number of Labels,Type of Issue
93148,No matching distribution found for torch on pyenv apple silicon,0,0,2,0,['Other']
93068,Unexpected keyword argument during model compilation,0,0,1,1,['Other']
93058,why doe torch.inference_mode() requires 'with' keyword  ,0,0,2,0,['Other']
93054,DISABLED test_roi_align_dynamic_shapes_cuda (__main__.CudaTests),0,0,9,3,['Other']
93028,`torch.fft.ifft` has different jacobians computed by reverse and forward mode,0,0,2,0,['Other']
93023,building sources on Windows fails due missing cmake cache variable CMAKE_BUILD_TYPE,0,0,1,0,['Other']
93015,`split_with_sizes_copy` is missing,0,0,1,0,['Other']
93006,PT2.0 CUDA topk illegal memory access ,1,0,2,0,['Other']
92984,`retain_grad` makes the `gradcheck` fail in the forward mode ad,0,0,1,0,['Other']
92978,Segmentation fault when replaying an uninitialized CUDA graph,0,1,1,2,['Other']
92968,Segfault when running torch.cuda.comm.broadcast_coalesced,1,0,1,0,['Other']
92966,Floating point exception when running torch.nn.functional.conv3d,0,0,1,0,['Other']
92965,Floating point exception when running torch.nn.functional.conv2d,1,0,1,0,['Other']
92964,Floating point exception when running torch.nn.functional.conv_transpose2d,1,0,1,0,['Other']
92963,Floating point exception when running torch.nn.functional.conv_transpose1d,1,0,1,0,['Other']
92962,Segfault when running torch.mul,1,0,1,0,['Other']
92961,Segfault when running torch.max22,1,0,1,0,['Other']
92960,Segfault when running torch.lu_unpack,1,0,1,0,['Other']
92959,Segfault when running torch.lt,1,0,1,0,['Other']
92958,Segfault when running torch.le,1,0,1,0,['Other']
92957,Segfault when running torch.inverse,1,0,1,0,['Other']
92956,Segfault when running torch.gt,1,0,1,0,['Other']
92955,Segfault when running torch.ge,1,0,1,0,['Other']
92954,Segfault when running torch.fmod,1,0,1,0,['Other']
92953,Segfault when running torch.floor_divide,1,0,1,0,['Other']
92952,Segfault when running torch.div,1,0,1,0,['Other']
92951,Segfault when running torch.div2,1,0,1,0,['Other']
92950,Segfault when running torch.cuda.comm.broadcast_coalesced,1,0,1,0,['Other']
92949,Segfault when running torch.bitwise_xor,1,0,1,0,['Other']
92948,Segfault when running torch.bitwise_and,1,0,1,0,['Other']
92947,Segfault when running torch.add,1,0,1,0,['Other']
92941,torch.where + DDPoptimizer + Dynamo causes faketensor error,0,1,12,3,['Bug']
