Issue Number,Issue Title,Time to Close,Number of Assignees,Number of Comments,Number of Labels,Type of Issue
59463,Unable to build 2.11 for ppc64le due to XNNPACK configurable attribute deps not matched,0,1,4,1,['Other']
59454,Val loss is very different from training loss when measured on the same data,0,1,3,3,['Bug']
59432,How to infer  pose classification on single image?,2,1,2,3,['Other']
59408,CUDA launch failure when running tensorflow.python.ops.gen_nn_ops.fused_batch_norm_grad_v3,0,1,1,1,['Bug']
59375,IA capable de lire des chiffre,0,1,0,0,['Other']
59350,Runtime error tensorflow.python.ops.stateless_random_ops.stateless_truncated_normal,0,1,2,1,['Bug']
59329,"Hey, I created new env with python=3.8.5 but I didn't fix it. Before install detectron2, I installed this packages:",0,1,0,0,['Other']
59323,"""tflite-model-maker"" package is not possible to install on Windows OS",6,1,4,4,['Other']
59309,A parameter checking issue in the BatchNorm operator,4,1,3,3,['Bug']
59307,A batch normalization precision error,1,1,3,4,['Bug']
59301,Error in importing tensor flow ,0,1,1,1,['Bug']
59299,running distributed tensorflow using MPI,4,1,9,4,['Other']
59273,tf.lite from tensorflow runs faster than the tflite_runtime,11,2,17,5,['Other']
59263,Issu,0,1,1,1,['Other']
59261,"tflite Model Maker installation Error metadata-generation-failed, No such file or directory: '..\\VERSION'",1,1,7,3,['Bug']
59260,tflite_convert: command not found,0,1,0,1,['Other']
59258,How to get label of detection after (@tensorflow/tfjs-tflite) predict returns result from a custom tflite model in Reactjs web App,5,1,7,2,['Other']
59255,CUDA version,3,1,7,3,['Other']
59254,custom model with TF2 (2.11.0) for M.2 Edge TPU,1,1,21,0,['Other']
59251,Update curl to 7.87.0,0,1,2,2,['enhancement']
59250,accessing layers in a list through index results in near zero gradients,0,1,7,1,['Other']
59241,Is there any way to disable remapping optimizer in Tensorflow1.15.0?,4,1,4,4,['Other']
59235,tensorboardX ,0,1,1,3,['Other']
59234,serialized_pb,0,1,1,2,['Other']
59231,Movinet Colab 'TypeError',14,1,5,5,['Bug']
59225,Is there way to remove BDBA critical Vulnerability ,6,1,1,5,['Critical']
59218,How to design tf.keras callback to save model predictions for each batch and each epoch,16,1,5,5,['Other']
59214,Is there any way to modify the quantized parameters from the generated tflite model?,14,1,4,6,['Other']
59201,Crash when running tensorflow.python.ops.math_ops.sparse_segment_sum,0,1,3,3,"['Bug', 'Critical']"
59199,Check failure when running tensorflow.python.ops.gen_sparse_ops.sparse_to_dense,14,1,4,5,['Bug']
59196,Segfault when running tensorflow.python.ops.gen_linalg_ops.matrix_solve_ls,15,1,4,5,['Bug']
59191,Crash when running gen_nn_ops.max_pool,15,1,4,6,"['Critical', 'Bug']"
59190,Illegal memory access when running gen_math_ops.dense_bincount,16,1,4,5,['Bug']
59189,Illegal memory access when running tensorflow.python.ops.bincount_ops.bincount,15,1,4,5,['Bug']
59188,Crash when running gen_nn_ops.fused_batch_norm_grad_v3,15,1,4,5,"['Critical', 'Bug']"
59184,Text Predictions Tutorials Has  Incorrect Data,18,1,7,5,['Bug']
59182,"GPU only works in training and tuning, but not inference, gets NON-Okay status",14,1,4,5,['Bug']
59181,[Documentation] `raw_ops.RealDiv`: Input Tensors cannot be of integer dtype,14,1,3,4,"['Bug', 'Documentation']"
59177,Segfault when running tensorflow.python.ops.gen_sparse_ops.sparse_concat,15,1,6,5,['Bug']
59175,Process killed when running tensorflow.python.ops.gen_math_ops._histogram_fixed_width,15,1,4,5,['Bug']
59173,Segmentation fault when running gen_data_flow_ops.dynamic_stitch,15,1,6,5,['Bug']
59170,Process kills when running array_ops.concat ,16,1,3,3,['Bug']
59169,Check failure when running array_ops.quantize_and_dequantize_v2 probably due to dimension mismatch.,15,1,5,5,['Bug']
59168,Process killed when running array_ops.ones,17,1,4,4,['Bug']
59167, traied model with tensorflow on transformer pipeline pop out error,14,1,4,4,['Bug']
59166,plot_model() got an unexpected keyword argument 'show_layer_activations',14,1,8,5,['Bug']
59161,Illegal memory access when running math_ops.sparse_segment_sum,1,1,3,4,['Bug']
59159, cannot import name 'build_info' from 'tensorflow.python.platform',15,1,8,5,['Other']
59136,Elaborate on the support of custom_objects in Saved Model for TFX Serving,17,1,5,4,['enhancement']
59128,Blas SGEMM launch failed issue ,16,1,4,5,['Bug']
59126,Illegal memory access when running tensorflow.python.ops.gen_sparse_ops.sparse_to_dense,18,1,6,5,['Bug']
59121,Illegal memory access when running tensorflow.python.ops.gen_sparse_ops.sparse_split,17,1,5,5,['Bug']
59119,Tensorflow for C Windows GPU install is missing,15,1,4,5,['Other']
59115,TFDefaultLogSink::Send() uses buffered writes leading to delays writing to log file,11,1,3,4,['Bug']
59106,gpu is not supported,0,1,0,0,['Other']
59105,i want to reduce the app size with TensorFlowLiteSelectTfOps,0,1,1,3,['Other']
59104,"Random error after hundreds of iterations: Aborting RingReduce with Invalid argument: Incompatible shapes: [0,64] vs. [0,256]",17,1,16,5,['Bug']
59103,Pre loads pages and crashes during transition in colab,0,1,0,1,['Critical']
59102,"Selectively build TensorFlow Lite with Bazel for Android，cannot find symbol class Interpreter，dlopen failed: cannot locate symbol ""_ZNK6google8protobuf7Message11GetTypeNameEv""",15,1,5,5,['Other']
59092,run (cd tensorflow/go/op && go generate) error,15,1,4,5,['Bug']
59091,Mirrored strategy keras model.fit failure,15,1,6,4,['Bug']
59089,Illegal memory access when running tensorflow.python.ops.gen_math_ops.sparse_segment_sum when running from terminal,22,1,13,5,['Bug']
59088,Check failure when running gen_bitwise_ops.population_count,18,1,7,5,['Bug']
59079,SIMJO77 ,0,1,1,3,['Other']
59077,tflite_model_maker-0.4.2 - Getting nightly for ever,15,1,8,5,['Other']
59076,Issue created for Rollback of PR #58358: Fix unigram assert,2,3,3,4,['Bug']
59075,TypeError: can't pickle weakref objects,18,1,9,3,['Bug']
59074,a bug in tensorflow,18,1,5,5,['Bug']
59073,fatal error: rocm/include/rocblas.h: No such file or directory,22,1,1,4,['Bug']
59072,Distribute training bug while using tf.data,2,1,7,3,['Bug']
59070,Segmentation fault when enabling TF CPP logs,3,1,6,3,['Bug']
59069,TypeError when modifying tf.keras.Optimizer parameter,7,1,6,3,['Bug']
59068,Unable to build in WSL2,1,1,4,4,['Other']
59062,something in tensor flow proses,2,1,4,3,['Other']
59057,I want to solve this problem,23,1,4,3,['Bug']
59056,Migrate Early Stopping Code Error,16,1,4,5,['Bug']
59052,StaticHashTable does not support complex values,18,1,6,5,['Bug']
59049,Training horizontally stacked layers does not happen in parallel,18,1,6,5,['Bug']
59045,CUDA Library not being detected by Ubuntu-Preview,5,1,4,5,['Other']
59043,8222c1cfc866126111f23bd9872998480cebf2c1.tar.gz    404,0,1,2,1,['Other']
59042,Didn't find op for builtin opcode REVERSE_V2 version '1'.,18,1,6,5,['Other']
59041,"using a custom layer, loaded_model cannot give the same predicted value compared with original model [results not reproducible]",1,1,3,3,['Other']
59039,model.fit() uses same chunk of validation data for all evaluation steps,8,1,2,4,['Bug']
59036,Earlystopping 'auto' mode is garbage,14,1,4,5,['Bug']
59032,Can't build tensorflow lite 2.10.0,1,1,2,4,['Bug']
59025,ERROR: Could not find a version that satisfies the requirement tensorflow==1.15.2,21,1,8,5,['Bug']
59024,Support for keepdims and padding in tf.boolean_mask or tf.ragged.boolean_mask,0,1,0,2,['enhancement']
59020,RuntimeError: MetaGraphDef when converting to tflite,13,1,6,5,['Bug']
59018,"tf.truncatediv not support float, but doc support.",0,1,4,3,['Bug']
59017,error: 'tf.Conv2D' op is neither a custom op nor a flex op,0,1,9,5,['Bug']
59016,Window only link,15,1,3,5,['Other']
59015,Crash when running tensorflow.python.ops.random_grad.add_leading_unit_dimensions,0,1,4,4,"['Critical', 'Bug']"
59014,Segmentation fault when running tensorflow.python.ops.nn_impl.fused_batch_norm,0,1,3,4,['Bug']
59013,Issue with CUDA library directory not being detected properly by Tensorflow Ubuntu 22.04,24,1,11,4,['Other']
59012,Crash when running tensorflow.python.ops.gen_data_flow_ops.record_input,0,1,4,4,"['Critical', 'Bug']"
59011,Crash when running tf.test.create_local_cluster,0,1,4,4,"['Critical', 'Bug']"
59010,Crash when running tensorflow.python.ops.gen_bitwise_ops.population_count,0,1,2,3,"['Bug', 'Critical']"
59009,Crash when running tensorflow.python.ops.gen_array_ops.upper_bound,0,1,4,4,"['Critical', 'Bug']"
59008,Crash when running tensorflow.python.ops.gen_collective_ops.collective_gather,0,1,3,4,"['Critical', 'Bug']"
59007,Crash when running tensorflow.python.ops.ragged.ragged_string_ops.ngrams,0,1,4,4,"['Critical', 'Bug']"
59006,Crash when running tensorflow.python.ops.linalg.linalg_impl.matrix_exponential,0,1,4,4,"['Critical', 'Bug']"
59005,Crash when running tensorflow.python.ops.gen_array_ops.pad_v2,0,1,4,3,"['Bug', 'Critical']"
59004,Crash when running tensorflow.python.ops.collective_ops.all_gather,0,1,3,4,"['Critical', 'Bug']"
59003,Crash when running tensorflow.python.ops.gen_image_ops.extract_glimpse_v2,0,1,4,4,"['Critical', 'Bug']"
59002,Crash when running tensorflow.python.ops.gen_linalg_ops.cholesky,0,1,4,4,"['Critical', 'Bug']"
59001,Segmentation fault when running tensorflow.python.ops.gen_nn_ops.fused_batch_norm_v3,0,1,4,4,['Bug']
59000,Crash when running tensorflow.python.ops.gen_array_ops.quantize_v2,0,1,5,4,"['Critical', 'Bug']"
58999,Segmentation fault in tensorflow.python.ops.gen_nn_ops.fused_batch_norm_grad_v3,9,1,7,5,['Bug']
58997,Inconsistent predict results,22,1,9,5,['Bug']
58993,"NotImplementedError: Cannot convert a symbolic tf.Tensor (strided_slice:0) to a numpy array. This error may indicate that you're trying to pass a Tensor to a NumPy call, which is not supported.",24,2,5,5,['Bug']
58992,How Do I Convert input arg tf.string to string in tf.function ,16,1,4,4,['Other']
58991,Missing zip file,2,1,5,3,['Other']
58990,NNAPI initialization from cache has hardly any time benefit,18,1,4,4,['Other']
58989,"By using tf.control_dependencies in my code, the custom_ops will not be execute",16,1,4,5,['Bug']
58988,NOT_FOUND: could not find registered platform with id,19,1,9,5,['Bug']
58986,Loaded runtime CuDNN library: 8.0.5 but source was compiled with: 8.1.0,19,1,6,5,['Other']
58983,TypeError: Could not build a TypeSpec for KerasTensor,0,1,3,4,['Bug']
58982,pip subprocess to install build dependencies did not run successfully,8,1,4,5,['Other']
58975,Installing sktime all_extras got compatible issues with tensorflow,32,1,12,5,['Other']
58972,__init__() got an unexpected keyword argument 'reduction',4,1,5,4,['Other']
58969,Almost wiped my PC trying to make Tensorboard work on windows Jupyter notebook,15,1,3,5,['Other']
58961,"Unable to use any augmentation layer within `tf.data` with XLA enabled, in `MultiWorkerMirroredStrategy`",8,1,4,5,['Bug']
58960,Not able to ,14,1,4,5,['Other']
58957,GPUs only visible for administrators,0,1,3,4,['Other']
58956, /home/work/tensorflow/test/tensorflow-2.4.0/tensorflow/compiler/xla/service/cpu/BUILD:695:1: C++ compilation of rule '//tensorflow/compiler/xla/service/cpu:runtime_matmul' failed (Exit 4),15,1,6,5,['Other']
58953,Unable to build Tensorflow 2.11.0 from source code,1,1,3,4,['Other']
58952,TensorFlow device is mapped to multiple devices when using tf.estimator models and setting visible device using TF v1 api with TF2.11,19,1,8,4,['Bug']
58950,[NVIDIA XLA] XLA generates element-wise fusion kernel with no data locality for GPU,31,1,7,3,['Bug']
58947,BatchNormalization is not found under `from tensorflow.python.keras.layers`,2,1,7,4,['Other']
58945,"unable to save function, WeightNormalization with Conv1DTranspose error",3,1,7,4,['Bug']
58944,Suggested Build Params For Older Gen Intel CPU,15,1,4,5,['Other']
58941,tf.custom_gradient with multiple input and output,17,1,7,5,['Other']
58940,autocast=False not respected when saving/loading Keras model,0,1,4,3,['Bug']
58939,Dependencies installation failure in rasa due to Tensor flow,17,1,6,5,['Other']
58935,Tensroflow recognizes only one GPU,3,1,8,4,['Bug']
58933,Bad download link for Windows GPU only binaries zip file,36,1,8,6,['Bug']
58927,tensorflow not found,0,1,1,1,['Bug']
58926,Wrong layer name in exception message,17,1,4,5,['Bug']
58910,TF 2.11.0 not working with CUDA 12.0,2,1,4,4,['Bug']
58908,"Error following installation, help requested",19,1,4,5,['Bug']
58907,"while tflite model has Dequantize, gpu deledate performance is slower on android for  2.10 version",0,1,1,4,['Other']
58901,C API installation instructions don't work for MacOS,15,1,5,6,['Bug']
58900,"Build TF 2.11.0 with use ROCM 5.4.0 with GCC 12.2.0 failed, but succesfull build with use ROCM 5.4.0 with GCC 11.3.0",0,1,2,1,['Other']
58891,API installation instructions don't work for MacOS,0,1,6,3,['Other']
58888,Training with Null Data in TFLITE Model Maker,0,1,1,1,['Other']
58883,"Bulid TF2.4 in arm architecture, report  an error（crosstool_wrapper_driver_is_not_gcc failed, NvInferLegacyDims.h: No such file or directory）",18,1,6,6,['Bug']
58881,With compile gcc 12.2.0 tensorflow::functor::CSRSparseMatrixTranspose missing,22,1,8,2,['Other']
58876,Strange C macro generated by tensorflow.lite.python.util.convert_bytes_to_c_source(),0,1,1,4,['Other']
58875,Cannot make use of GPU,3,1,14,4,['Other']
58874,Convert both model and post processing to tflite model,16,1,3,4,['Other']
58873,"compile tensorflow-lite-select-tf-ops no error show,but exit",10,1,4,4,['Bug']
58872,[DTensor] Does DTensor work directly under the eager mode?,1,1,5,4,['Other']
58869,tensorflow installation not working on apple silicon macs,15,1,8,5,['Other']
58860,tensorflow 2.2 cnn training issue,35,1,5,5,['Other']
58859,Tensorfllow issue:  local installation not working.,35,1,15,5,['Other']
58857,"when running tflite mode using GPU , the result on AMD is wrong",8,2,16,5,['Bug']
58855,How to reduce power consumption for gpu delegate on android,14,1,7,6,['Other']
58854,How to get single UnidirectionalSequenceRnnOp in tflite model,15,1,6,6,['Other']
58852, How to release memory when I want to change model with tf.saved_model.load already?,45,1,6,3,['Other']
58849,OOM out of memory Mask RCNN,16,1,5,5,['Other']
58848,How to calculate the model's flops when I use tensorflow?,19,1,5,5,['Other']
58846,tf.config.experimental.enable_tensor_float_32_execution(False) fails with TF_CUDNN_USE_AUTOTUNE=0,9,1,2,4,['Bug']
58845,"Tensorflow compilation fails on Raspberry 32bit compute module with message ""error: static assertion failed: Source and destination types should have equal sizes.""",1,1,3,4,['Bug']
58844,The output_details and actual output of my converted TF lite model are of different shape ,4,1,5,6,['Bug']
58843,ERROR: No matching distribution found for tensorflow==2.13.0,9,2,5,4,['Bug']
58833,Select TensorFlow op（FlexTensorArrayV3）is not supported by this interpreter,17,1,7,3,['Bug']
58831,"New optimizers API accepts 'lr' as argument, but ignores it",4,1,4,4,['Bug']
58828,Significant slowdown in Keras model.fit() on simple problem when using validation data,3,1,3,3,['Other']
58824,TF 2.11 on redhat Could not load dynamic library  and This TensorFlow binary is optimized.....,21,1,6,6,['Other']
58821,Can't use adpt function to normarlization the data,0,1,1,3,['Bug']
58820,Installation process on dead pip,0,1,2,3,['Other']
58816,Tensorflow 2.11 is still using CUDA 11.2 + CuDNN 8.1 that were released 2 years ago,0,1,3,3,['Other']
58812,Deploy yolo5 model into TensorFlow Lite Object Detection Android,15,1,6,6,['Other']
58810,TensorFlow Lite example label_image run err,0,1,2,3,['Other']
58808,ModuleNotFoundError: No module named 'tensorflow.compat',15,1,12,5,['Bug']
58799,which encoding can i use to parse tensorflow_stats.pb?,1,1,5,4,['Other']
58798,'utf-8' codec can't decode byte 0xcd in position 133: invalid continuation byte,16,1,4,5,['Bug']
